"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2021-09-05;"9834";APV;"1M";0.0026156985658834584681
2021-09-05;"9834";APV;"3M";0.0054181057159412051230
2021-09-05;"9834";APV;"6M";0.0054181057159412051230
2021-09-05;"9834";APV;"1Y";0.0054181057159412051230
2021-09-05;"9834";APV;YTD;0.0054181057159412051230
2021-09-06;"9834";APV;"1M";0.0037336003981416604635
2021-09-06;"9834";APV;"3M";0.0054492636929316540807
2021-09-06;"9834";APV;"6M";0.0054492636929316540807
2021-09-06;"9834";APV;"1Y";0.0054492636929316540807
2021-09-06;"9834";APV;YTD;0.0054492636929316540807
2021-09-07;"9834";APV;"1M";0.0035310402069961959038
2021-09-07;"9834";APV;"3M";0.0052377174281017638081
2021-09-07;"9834";APV;"6M";0.0052377174281017638081
2021-09-07;"9834";APV;"1Y";0.0052377174281017638081
2021-09-07;"9834";APV;YTD;0.0052377174281017638081
2021-09-08;"9834";APV;"1M";0.0032936876614102272252
2021-09-08;"9834";APV;"3M";0.0049913234258483450981
2021-09-08;"9834";APV;"6M";0.0049913234258483450981
2021-09-08;"9834";APV;"1Y";0.0049913234258483450981
2021-09-08;"9834";APV;YTD;0.0049913234258483450981
2021-09-09;"9834";APV;"1M";0.0049043598089451450062
2021-09-09;"9834";APV;"3M";0.0051244622814752963964
2021-09-09;"9834";APV;"6M";0.0051244622814752963964
2021-09-09;"9834";APV;"1Y";0.0051244622814752963964
2021-09-09;"9834";APV;YTD;0.0051244622814752963964
2021-09-10;"9834";APV;"1M";0.0047890616480332090891
2021-09-10;"9834";APV;"3M";0.0057441370475419338948
2021-09-10;"9834";APV;"6M";0.0057441370475419338948
2021-09-10;"9834";APV;"1Y";0.0057441370475419338948
2021-09-10;"9834";APV;YTD;0.0057441370475419338948
2021-09-11;"9834";APV;"1M";0.0041160584401711140334
2021-09-11;"9834";APV;"3M";0.0057344001797324185948
2021-09-11;"9834";APV;"6M";0.0057344001797324185948
2021-09-11;"9834";APV;"1Y";0.0057344001797324185948
2021-09-11;"9834";APV;YTD;0.0057344001797324185948
2021-09-12;"9834";APV;"1M";0.0036987962060566158352
2021-09-12;"9834";APV;"3M";0.0057246633119229033004
2021-09-12;"9834";APV;"6M";0.0057246633119229033004
2021-09-12;"9834";APV;"1Y";0.0057246633119229033004
2021-09-12;"9834";APV;YTD;0.0057246633119229033004
2021-09-13;"9834";APV;"1M";0.0039014551771331457087
2021-09-13;"9834";APV;"3M";0.0062368225587034080064
2021-09-13;"9834";APV;"6M";0.0062368225587034080064
2021-09-13;"9834";APV;"1Y";0.0062368225587034080064
2021-09-13;"9834";APV;YTD;0.0062368225587034080064
2021-09-14;"9834";APV;"1M";0.0039583428133480151261
2021-09-14;"9834";APV;"3M";0.0062853019110602578638
2021-09-14;"9834";APV;"6M";0.0062853019110602578638
2021-09-14;"9834";APV;"1Y";0.0062853019110602578638
2021-09-14;"9834";APV;YTD;0.0062853019110602578638
2021-09-15;"9834";APV;"1M";0.0039467186842199504173
2021-09-15;"9834";APV;"3M";0.0062652132153690473573
2021-09-15;"9834";APV;"6M";0.0062652132153690473573
2021-09-15;"9834";APV;"1Y";0.0062652132153690473573
2021-09-15;"9834";APV;YTD;0.0062652132153690473573
2021-09-16;"9834";APV;"1M";0.0038723469269421349547
2021-09-16;"9834";APV;"3M";0.0061189552115355912367
2021-09-16;"9834";APV;"6M";0.0061189552115355912367
2021-09-16;"9834";APV;"1Y";0.0061189552115355912367
2021-09-16;"9834";APV;YTD;0.0061189552115355912367
2021-09-17;"9834";APV;"1M";0.0046262779217733742824
2021-09-17;"9834";APV;"3M";0.0061097308104528925286
2021-09-17;"9834";APV;"6M";0.0061097308104528925286
2021-09-17;"9834";APV;"1Y";0.0061097308104528925286
2021-09-17;"9834";APV;YTD;0.0061097308104528925286
